טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
טבלת ישובים    ,734       ,גן יאשיה                 ,GAN YOSHIYYA             ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,166       ,גן יבנה                  ,GAN YAVNE                ,44   ,רחובות              ,44   ,רחובות                   ,0   ,
טבלת ישובים    ,1274      ,גן נר                    ,GAN NER                  ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,311       ,גן שורק                  ,GAN SOREQ                ,44   ,רחובות              ,44   ,רחובות                   ,27  ,גן רווה
טבלת ישובים    ,144       ,גן שלמה                  ,GAN SHELOMO              ,44   ,רחובות              ,44   ,רחובות                   ,28  ,ברנר
טבלת ישובים    ,72        ,גן שמואל                 ,GAN SHEMU'EL             ,32   ,חדרה                ,32   ,חדרה                     ,14  ,מנשה
טבלת ישובים    ,836       ,גנות                     ,GANNOT                   ,43   ,רמלה                ,43   ,רמלה                     ,40  ,שדות דן
טבלת ישובים    ,549       ,גנות הדר                 ,GANNOT HADAR             ,41   ,השרון               ,41   ,נתניה                    ,18  ,לב השרון
טבלת ישובים    ,1103      ,גני הדר                  ,GANNE HADAR              ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,1371      ,גני טל                   ,GANNE TAL                ,44   ,רחובות              ,44   ,רחובות                   ,31  ,נחל שורק
טבלת ישובים    ,862       ,גני יוחנן                ,GANNE YOHANAN            ,44   ,רחובות              ,44   ,רחובות                   ,30  ,גזר
טבלת ישובים    ,3823      ,גני מודיעין              ,GANNE MODIIN             ,74   ,ראמאללה             ,11   ,ירושלים                  ,73  ,מטה בנימין
טבלת ישובים    ,218       ,גני עם                   ,GANNE AM                 ,42   ,פתח תקווה           ,47   ,כפר סבא                  ,20  ,דרום השרון
טבלת ישובים    ,229       ,גני תקווה                ,GANNE TIQWA              ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,0   ,
טבלת ישובים    ,842       ,געש                      ,GA'ASH                   ,41   ,השרון               ,41   ,נתניה                    ,19  ,חוף השרון
טבלת ישובים    ,463       ,געתון                    ,GA'TON                   ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,39        ,גפן                      ,GEFEN                    ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,1129      ,גרופית                   ,GEROFIT                  ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,4022      ,גשור                     ,GESHUR                   ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,305       ,גשר                      ,GESHER                   ,22   ,כנרת                ,22   ,טבריה                    ,7   ,עמק המעיינות
טבלת ישובים    ,574       ,גשר הזיו                 ,GESHER HAZIW             ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,340       ,גת )קיבוץ(               ,GAT(QIBBUZ)              ,61   ,אשקלון              ,61   ,אשקלון                   ,35  ,יואב
טבלת ישובים    ,128       ,גת רימון                 ,GAT RIMMON               ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,20  ,דרום השרון
טבלת ישובים    ,494       ,דאלית אל-כרמל            ,DALIYAT AL-KARMEL        ,31   ,חיפה                ,31   ,חיפה                     ,0   ,
טבלת ישובים    ,146       ,דבורה                    ,DEVORA                   ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,489       ,דבוריה                   ,DABBURYE                 ,23   ,עפולה               ,23   ,עפולה                    ,0   ,
טבלת ישובים    ,849       ,דבירה                    ,DEVIRA                   ,62   ,באר שבע             ,62   ,באר שבע                  ,41  ,בני שמעון
טבלת ישובים    ,407       ,דברת                     ,DAVERAT                  ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,62        ,דגניה א'                 ,DEGANYA ALEF             ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,79        ,דגניה ב'                 ,DEGANYA BET              ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,1067      ,"דוב""ב                    ",DOVEV                    ,21   ,צפת                 ,21   ,צפת                      ,2   ,מרום הגליל
טבלת ישובים    ,3747      ,דולב                     ,DOLEV                    ,74   ,ראמאללה             ,11   ,ירושלים                  ,73  ,מטה בנימין
טבלת ישובים    ,738       ,דור                      ,DOR                      ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,336       ,דורות                    ,DOROT                    ,61   ,אשקלון              ,61   ,אשקלון                   ,37  ,שער הנגב
טבלת ישובים    ,475       ,דחי                      ,DAHI                     ,23   ,עפולה               ,23   ,עפולה                    ,66  ,בוסתאן אל-מרג'
טבלת ישובים    ,490       ,דייר אל-אסד              ,DEIR AL-ASAD             ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,492       ,דייר חנא                 ,DEIR HANNA               ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,493       ,דייר ראפאת               ,DEIR RAFAT               ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,2200      ,דימונה                   ,DIMONA                   ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,2063      ,דישון                    ,DISHON                   ,21   ,צפת                 ,21   ,צפת                      ,55  ,מבואות החרמון
טבלת ישובים    ,300       ,דליה                     ,DALIYYA                  ,23   ,עפולה               ,23   ,עפולה                    ,13  ,מגידו
טבלת ישובים    ,431       ,דלתון                    ,DALTON                   ,21   ,צפת                 ,21   ,צפת                      ,2   ,מרום הגליל
טבלת ישובים    ,1317      ,דמיידה                   ,DEMEIDE                  ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,303       ,דן                       ,DAN                      ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,302       ,דפנה                     ,DAFNA                    ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,1241      ,דקל                      ,DEQEL                    ,62   ,באר שבע             ,62   ,באר שבע                  ,38  ,אשכול
טבלת ישובים    ,1349      ,דריג'את                  ,DERIG'AT                 ,62   ,באר שבע             ,62   ,באר שבע                  ,69  ,אל קסום
טבלת ישובים    ,702       ,האון                     ,HAON                     ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,675       ,הבונים                   ,HABONIM                  ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,356       ,הגושרים                  ,HAGOSHERIM               ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,191       ,הדר עם                   ,HADAR AM                 ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,9700      ,הוד השרון                ,HOD HASHARON             ,42   ,פתח תקווה           ,47   ,כפר סבא                  ,0   ,
טבלת ישובים    ,726       ,הודיה                    ,HODIYYA                  ,61   ,אשקלון              ,61   ,אשקלון                   ,36  ,חוף אשקלון
טבלת ישובים    ,1322      ,הודיות                   ,HODAYOT                  ,22   ,כנרת                ,22   ,טבריה                    ,3   ,הגליל התחתון
טבלת ישובים    ,1169      ,הוואשלה )שבט(            ,HAWASHLA                 ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,956       ,הוזייל )שבט(             ,HUZAYYEL                 ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,1186      ,הושעיה                   ,HOSHA'AYA                ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,250       ,הזורע                    ,HAZOREA                  ,23   ,עפולה               ,23   ,עפולה                    ,13  ,מגידו
טבלת ישובים    ,307       ,הזורעים                  ,HAZORE'IM                ,22   ,כנרת                ,22   ,טבריה                    ,3   ,הגליל התחתון
טבלת ישובים    ,434       ,החותרים                  ,HAHOTERIM                ,32   ,חדרה                ,32   ,חדרה                     ,15  ,חוף הכרמל
טבלת ישובים    ,684       ,היוגב                    ,HAYOGEV                  ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,1208      ,הילה                     ,HILLA                    ,24   ,עכו                 ,24   ,עכו                      ,52  ,מעלה יוסף
טבלת ישובים    ,377       ,המעפיל                   ,HAMA'PIL                 ,41   ,השרון               ,32   ,חדרה                     ,16  ,עמק חפר
טבלת ישובים    ,677       ,הסוללים                  ,HASOLELIM                ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,423       ,העוגן                    ,HAOGEN                   ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,3769      ,הר אדר                   ,HAR ADAR                 ,74   ,ראמאללה             ,11   ,ירושלים                  ,0   ,
טבלת ישובים    ,3603      ,הר גילה                  ,HAR GILLO                ,76   ,בית לחם             ,11   ,ירושלים                  ,76  ,גוש עציון
טבלת ישובים    ,1261      ,הר עמשא                  ,HAR AMASA                ,62   ,באר שבע             ,62   ,באר שבע                  ,51  ,תמר
טבלת ישובים    ,464       ,הראל                     ,HAR'EL                   ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,1249      ,הרדוף                    ,HARDUF                   ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,6400      ,הרצליה                   ,HERZELIYYA               ,51   ,תל אביב             ,57   ,הרצליה                   ,0   ,
טבלת ישובים    ,1203      ,הררית                    ,HARARIT                  ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,3639      ,ורד יריחו                ,WERED YERIHO             ,75   ,ירדן )יריחו(        ,11   ,ירושלים                  ,74  ,מגילות ים המלח
טבלת ישובים    ,1133      ,ורדון                    ,WARDON                   ,61   ,אשקלון              ,61   ,אשקלון                   ,35  ,יואב
טבלת ישובים    ,2742      ,זבארגה )שבט(             ,ZABARGA                  ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,815       ,זבדיאל                   ,ZAVDI'EL                 ,61   ,אשקלון              ,61   ,אשקלון                   ,34  ,שפיר
טבלת ישובים    ,44        ,זוהר                     ,ZOHAR                    ,61   ,אשקלון              ,61   ,אשקלון                   ,50  ,לכיש
טבלת ישובים    ,584       ,זיקים                    ,ZIQIM                    ,61   ,אשקלון              ,61   ,אשקלון                   ,36  ,חוף אשקלון
טבלת ישובים    ,788       ,זיתן                     ,ZETAN                    ,43   ,רמלה                ,43   ,רמלה                     ,40  ,שדות דן
טבלת ישובים    ,9300      ,זכרון יעקב               ,ZIKHRON YA'AQOV          ,32   ,חדרה                ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,799       ,זכריה                    ,ZEKHARYA                 ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,1290      ,זמר                      ,ZEMER                    ,41   ,השרון               ,41   ,נתניה                    ,0   ,
טבלת ישובים    ,1065      ,זמרת                     ,ZIMRAT                   ,62   ,באר שבע             ,62   ,באר שבע                  ,39  ,שדות נגב
טבלת ישובים    ,816       ,זנוח                     ,ZANOAH                   ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,2064      ,זרועה                    ,ZERU'A                   ,62   ,באר שבע             ,62   ,באר שבע                  ,39  ,שדות נגב
טבלת ישובים    ,975       ,זרזיר                    ,ZARZIR                   ,23   ,עפולה               ,23   ,עפולה                    ,0   ,
טבלת ישובים    ,818       ,זרחיה                    ,ZERAHYA                  ,61   ,אשקלון              ,61   ,אשקלון                   ,34  ,שפיר
טבלת ישובים    ,1321      ,ח'ואלד                   ,KHAWALED                 ,31   ,חיפה                ,31   ,חיפה                     ,12  ,זבולון
טבלת ישובים    ,986       ,ח'ואלד )שבט(             ,KHAWALED                 ,25   ,נצרת                ,31   ,חיפה                     ,12  ,זבולון
טבלת ישובים    ,235       ,חבצלת השרון              ,HAVAZZELET HASHARON      ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,1110      ,חבר                      ,HEVER                    ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,3400      ,חברון                    ,                         ,77   ,חברון               ,11   ,ירושלים                  ,0   ,
טבלת ישובים    ,717       ,חגור                     ,HAGOR                    ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,20  ,דרום השרון
טבלת ישובים    ,3764      ,חגי                      ,HAGGAI                   ,77   ,חברון               ,11   ,ירושלים                  ,78  ,הר חברון
טבלת ישובים    ,205       ,חגלה                     ,HOGLA                    ,41   ,השרון               ,32   ,חדרה                     ,16  ,עמק חפר
טבלת ישובים    ,4026      ,חד-נס                    ,HAD-NES                  ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,618       ,חדיד                     ,HADID                    ,43   ,רמלה                ,43   ,רמלה                     ,25  ,חבל מודיעין
טבלת ישובים    ,6500      ,חדרה                     ,HADERA                   ,32   ,חדרה                ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,948       ,חוג'ייראת )ד'הרה(        ,HUJEIRAT (DAHRA)         ,24   ,עכו                 ,24   ,עכו                      ,56  ,משגב
טבלת ישובים    ,160       ,חולדה                    ,HULDA                    ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,6600      ,חולון                    ,HOLON                    ,53   ,חולון               ,53   ,חולון                    ,0   ,
טבלת ישובים    ,1239      ,חולית                    ,HOLIT                    ,62   ,באר שבע             ,62   ,באר שבע                  ,38  ,אשכול
טבלת ישובים    ,253       ,חולתה                    ,HULATA                   ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,662       ,חוסן                     ,HOSEN                    ,24   ,עכו                 ,24   ,עכו                      ,52  ,מעלה יוסף
טבלת ישובים    ,1332      ,חוסנייה                  ,HUSSNIYYA                ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,115       ,חופית                    ,HOFIT                    ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,374       ,חוקוק                    ,HUQOQ                    ,22   ,כנרת                ,22   ,טבריה                    ,6   ,עמק הירדן
טבלת ישובים    ,1303      ,חורה                     ,HURA                     ,62   ,באר שבע             ,62   ,באר שבע                  ,0   ,
טבלת ישובים    ,496       ,חורפיש                   ,HURFEISH                 ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,355       ,חורשים                   ,HORESHIM                 ,42   ,פתח תקווה           ,349  ,ראש העין                 ,20  ,דרום השרון
טבלת ישובים    ,1047      ,חזון                     ,HAZON                    ,22   ,כנרת                ,22   ,טבריה                    ,2   ,מרום הגליל
טבלת ישובים    ,219       ,חיבת ציון                ,HIBBAT ZIYYON            ,41   ,השרון               ,32   ,חדרה                     ,16  ,עמק חפר
טבלת ישובים    ,3643      ,חיננית                   ,HINNANIT                 ,71   ,ג'נין               ,32   ,חדרה                     ,72  ,שומרון
טבלת ישובים    ,4000      ,חיפה                     ,HAIFA                    ,31   ,חיפה                ,31   ,חיפה                     ,0   ,
טבלת ישובים    ,162       ,חירות                    ,HERUT                    ,41   ,השרון               ,41   ,נתניה                    ,18  ,לב השרון
טבלת ישובים    ,1272      ,חלוץ                     ,HALUZ                    ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,820       ,חלץ                      ,HELEZ                    ,61   ,אשקלון              ,61   ,אשקלון                   ,36  ,חוף אשקלון
טבלת ישובים    ,993       ,חמאם                     ,HAMAM                    ,22   ,כנרת                ,22   ,טבריה                    ,65  ,אל-בטוף
טבלת ישובים    ,801       ,חמד                      ,HEMED                    ,43   ,רמלה                ,43   ,רמלה                     ,40  ,שדות דן
טבלת ישובים    ,343       ,חמדיה                    ,HAMADYA                  ,23   ,עפולה               ,23   ,עפולה                    ,7   ,עמק המעיינות
טבלת ישובים    ,3646      ,חמדת                     ,NAHAL HEMDAT             ,75   ,ירדן )יריחו(        ,23   ,עפולה                    ,75  ,ערבות הירדן
טבלת ישובים    ,3609      ,חמרה                     ,HAMRA                    ,75   ,ירדן )יריחו(        ,23   ,עפולה                    ,75  ,ערבות הירדן
טבלת ישובים    ,807       ,חניאל                    ,HANNI'EL                 ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,280       ,חניתה                    ,HANITA                   ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,1257      ,חנתון                    ,HANNATON                 ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,4005      ,חספין                    ,HASPIN                   ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,363       ,חפץ חיים                 ,HAFEZ HAYYIM             ,44   ,רחובות              ,44   ,רחובות                   ,31  ,נחל שורק
טבלת ישובים    ,90        ,חפצי-בה                  ,HEFZI-BAH                ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,700       ,חצב                      ,HAZAV                    ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,13        ,חצבה                     ,HAZEVA                   ,62   ,באר שבע             ,63   ,אילת                     ,54  ,הערבה התיכונה
טבלת ישובים    ,2034      ,חצור הגלילית             ,HAZOR HAGELILIT          ,21   ,צפת                 ,21   ,צפת                      ,0   ,
טבלת ישובים    ,406       ,חצור-אשדוד               ,HAZOR-ASHDOD             ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,1409      ,חצר בארותיים             ,HAZAR BE'EROTAYIM        ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,1402      ,חצרות חולדה              ,HAZROT HULDA             ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,1404      ,חצרות יסף                ,HAZROT YASAF             ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,1405      ,"חצרות כ""ח                ",HAZROT KOAH              ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,25  ,חבל מודיעין
טבלת ישובים    ,397       ,חצרים                    ,HAZERIM                  ,62   ,באר שבע             ,62   ,באר שבע                  ,41  ,בני שמעון
טבלת ישובים    ,422       ,חרב לאת                  ,HEREV LE'ET              ,41   ,השרון               ,32   ,חדרה                     ,16  ,עמק חפר
טבלת ישובים    ,1024      ,חרוצים                   ,HARUZIM                  ,41   ,השרון               ,41   ,נתניה                    ,19  ,חוף השרון
טבלת ישובים    ,1247      ,חריש                     ,HARISH                   ,32   ,חדרה                ,32   ,חדרה                     ,0   ,
טבלת ישובים    ,3717      ,חרמש                     ,HERMESH                  ,71   ,ג'נין               ,32   ,חדרה                     ,72  ,שומרון
טבלת ישובים    ,1209      ,חרשים                    ,HARASHIM                 ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,3770      ,חשמונאים                 ,HASHMONA'IM              ,74   ,ראמאללה             ,11   ,ירושלים                  ,73  ,מטה בנימין
טבלת ישובים    ,6700      ,טבריה                    ,TIBERIAS                 ,22   ,כנרת                ,22   ,טבריה                    ,0   ,
טבלת ישובים    ,962       ,טובא-זנגריה              ,TUBA-ZANGARIYYE          ,21   ,צפת                 ,21   ,צפת                      ,0   ,
טבלת ישובים    ,498       ,טורעאן                   ,TUR'AN                   ,25   ,נצרת                ,25   ,נוף הגליל                ,0   ,
טבלת ישובים    ,2730      ,טייבה                    ,TAYIBE                   ,41   ,השרון               ,41   ,נתניה                    ,0   ,
טבלת ישובים    ,497       ,טייבה )בעמק(             ,TAYIBE(BAEMEQ)           ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,2720      ,טירה                     ,TIRE                     ,41   ,השרון               ,41   ,נתניה                    ,0   ,
טבלת ישובים    ,663       ,טירת יהודה               ,TIRAT YEHUDA             ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,25  ,חבל מודיעין
טבלת ישובים    ,2100      ,טירת כרמל                ,TIRAT KARMEL             ,31   ,חיפה                ,31   ,חיפה                     ,0   ,
טבלת ישובים    ,268       ,טירת צבי                 ,TIRAT ZEVI               ,23   ,עפולה               ,23   ,עפולה                    ,7   ,עמק המעיינות
טבלת ישובים    ,462       ,טל שחר                   ,TAL SHAHAR               ,11   ,ירושלים             ,13   ,בית שמש                  ,26  ,מטה יהודה
טבלת ישובים    ,1181      ,טל-אל                    ,TAL-EL                   ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,1177      ,טללים                    ,TELALIM                  ,62   ,באר שבע             ,62   ,באר שבע                  ,48  ,רמת נגב
טבלת ישובים    ,3788      ,טלמון                    ,TALMON                   ,74   ,ראמאללה             ,11   ,ירושלים                  ,73  ,מטה בנימין
טבלת ישובים    ,8900      ,טמרה                     ,TAMRA                    ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,547       ,טמרה )יזרעאל(            ,TAMRA (YIZRE'EL)         ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,3743      ,טנא                      ,TENE                     ,77   ,חברון               ,62   ,באר שבע                  ,78  ,הר חברון
טבלת ישובים    ,1214      ,טפחות                    ,TEFAHOT                  ,22   ,כנרת                ,22   ,טבריה                    ,2   ,מרום הגליל
טבלת ישובים    ,1295      ,יאנוח-ג'ת                ,YANUH-JAT                ,24   ,עכו                 ,24   ,עכו                      ,0   ,
טבלת ישובים    ,1232      ,יבול                     ,YEVUL                    ,62   ,באר שבע             ,62   ,באר שבע                  ,38  ,אשכול
טבלת ישובים    ,46        ,יבנאל                    ,YAVNE'EL                 ,22   ,כנרת                ,22   ,טבריה                    ,0   ,
טבלת ישובים    ,2660      ,יבנה                     ,YAVNE                    ,44   ,רחובות              ,44   ,רחובות                   ,0   ,
טבלת ישובים    ,96        ,יגור                     ,YAGUR                    ,31   ,חיפה                ,31   ,חיפה                     ,12  ,זבולון
טבלת ישובים    ,798       ,יגל                      ,YAGEL                    ,43   ,רמלה                ,43   ,רמלה                     ,40  ,שדות דן
טבלת ישובים    ,577       ,יד בנימין                ,YAD BINYAMIN             ,44   ,רחובות              ,44   ,רחובות                   ,31  ,נחל שורק
טבלת ישובים    ,1134      ,יד השמונה                ,YAD HASHEMONA            ,11   ,ירושלים             ,11   ,ירושלים                  ,26  ,מטה יהודה
טבלת ישובים    ,758       ,יד חנה                   ,YAD HANNA                ,41   ,השרון               ,41   ,נתניה                    ,16  ,עמק חפר
טבלת ישובים    ,358       ,יד מרדכי                 ,YAD MORDEKHAY            ,61   ,אשקלון              ,61   ,אשקלון                   ,36  ,חוף אשקלון
טבלת ישובים    ,775       ,יד נתן                   ,YAD NATAN                ,61   ,אשקלון              ,61   ,אשקלון                   ,50  ,לכיש
טבלת ישובים    ,64        ,"יד רמב""ם                 ",YAD RAMBAM               ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,1144      ,ידידה                    ,YEDIDA                   ,11   ,ירושלים             ,11   ,ירושלים                  ,26  ,מטה יהודה
טבלת ישובים    ,9400      ,יהוד-מונוסון             ,YEHUD-MONOSON            ,42   ,פתח תקווה           ,42   ,פתח תקוה                 ,0   ,
טבלת ישובים    ,1158      ,יהל                      ,YAHEL                    ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,2009      ,יובל                     ,YUVAL                    ,21   ,צפת                 ,21   ,צפת                      ,55  ,מבואות החרמון
טבלת ישובים    ,1226      ,יובלים                   ,YUVALIM                  ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,1112      ,יודפת                    ,YODEFAT                  ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,4007      ,יונתן                    ,YONATAN                  ,29   ,גולן                ,22   ,טבריה                    ,71  ,גולן
טבלת ישובים    ,803       ,יושיביה                  ,YOSHIVYA                 ,62   ,באר שבע             ,62   ,באר שבע                  ,39  ,שדות נגב
טבלת ישובים    ,452       ,יזרעאל                   ,YIZRE'EL                 ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,409       ,יחיעם                    ,YEHI'AM                  ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,866       ,יטבתה                    ,YOTVATA                  ,62   ,באר שבע             ,63   ,אילת                     ,53  ,חבל אילות
טבלת ישובים    ,3607      ,"ייט""ב                    ",YITAV                    ,75   ,ירדן )יריחו(        ,23   ,עפולה                    ,75  ,ערבות הירדן
טבלת ישובים    ,811       ,יכיני                    ,YAKHINI                  ,61   ,אשקלון              ,61   ,אשקלון                   ,37  ,שער הנגב
טבלת ישובים    ,753       ,ינוב                     ,YANUV                    ,41   ,השרון               ,41   ,נתניה                    ,18  ,לב השרון
טבלת ישובים    ,2011      ,ינון                     ,YINNON                   ,61   ,אשקלון              ,61   ,אשקלון                   ,33  ,באר טוביה
טבלת ישובים    ,29        ,יסוד המעלה               ,YESUD HAMA'ALA           ,21   ,צפת                 ,21   ,צפת                      ,0   ,
טבלת ישובים    ,440       ,יסודות                   ,YESODOT                  ,44   ,רחובות              ,44   ,רחובות                   ,31  ,נחל שורק
טבלת ישובים    ,575       ,יסעור                    ,YAS'UR                   ,24   ,עכו                 ,24   ,עכו                      ,4   ,מטה אשר
טבלת ישובים    ,1138      ,יעד                      ,YA'AD                    ,24   ,עכו                 ,20   ,כרמיאל                   ,56  ,משגב
טבלת ישובים    ,1117      ,יעל                      ,YA'EL                    ,23   ,עפולה               ,23   ,עפולה                    ,8   ,הגלבוע
טבלת ישובים    ,1044      ,יעף                      ,YE'AF                    ,41   ,השרון               ,41   ,נתניה                    ,18  ,לב השרון
טבלת ישובים    ,795       ,יערה                     ,YA'ARA                   ,24   ,עכו                 ,24   ,עכו                      ,52  ,מעלה יוסף
טבלת ישובים    ,499       ,יפיע                     ,YAFI                     ,25   ,נצרת                ,25   ,נוף הגליל                ,0   ,
טבלת ישובים    ,3566      ,יפית                     ,YAFIT                    ,75   ,ירדן )יריחו(        ,23   ,עפולה                    ,75  ,ערבות הירדן
טבלת ישובים    ,134       ,יפעת                     ,YIF'AT                   ,23   ,עפולה               ,23   ,עפולה                    ,9   ,עמק יזרעאל
טבלת ישובים    ,453       ,יפתח                     ,YIFTAH                   ,21   ,צפת                 ,21   ,צפת                      ,1   ,הגליל העליון
טבלת ישובים    ,3749      ,יצהר                     ,YIZHAR                   ,72   ,שכם                 ,48   ,אריאל                    ,72  ,שומרון
טבלת ישובים    ,759       ,יציץ                     ,YAZIZ                    ,43   ,רמלה                ,43   ,רמלה                     ,30  ,גזר
טבלת ישובים    ,417       ,יקום                     ,YAQUM                    ,41   ,השרון               ,41   ,נתניה                    ,19  ,חוף השרון
טבלת ישובים    ,3647      ,יקיר                     ,YAQIR                    ,73   ,טול כרם             ,48   ,אריאל                    ,72  ,שומרון
טבלת ישובים    ,241       ,יקנעם )מושבה(            ,YOQNE'AM(MOSHAVA)        ,23   ,עפולה               ,23   ,עפולה                    ,13  ,מגידו
